Box | [bɒks] | Коробка, ящик
Bag | [bæg] | Мешок, сумка
Pocket | [ˈpɒkɪt] | Карман, карманный
Normal | [ˈnɔːməl] | Нормальный, обычный
Next | [nɛkst] | Следующий, рядом, дальше
Against | [əˈgɛnst] | Против, вопреки
Cost | [kɒst] | Стоимость, затраты, стоить
Powerful | [ˈpaʊəfʊl] | Мощный, сильный
Profitable | [ˈprɒfɪtəbl] | Прибыльный, выгодный
Popular | [ˈpɒpjʊlə] | Популярный
University | [ˌjuːnɪˈvɜːsɪti] | Университет, университетский
Famous | [ˈfeɪməs] | Известный, знаменитый
Politics | [ˈpɒlɪtɪks] | Политика
News | [njuːz] | Новости, новость
Special | [ˈspɛʃəl] | Специальный, особый
Lucky | [ˈlʌki] | Счастливый, удачливый, везучий
United | [jʊˈnaɪtɪd] | Объединённый
State | [steɪt] | Государство, государственный, состояние
Client | [ˈklaɪənt] | Клиент, заказчик
Building | [ˈbɪldɪŋ] | Здание, строительство
Spain | [speɪn] | Испания
Italy | [ˈɪtəli] | Италия
Room | [ruːm] | Комната, номер
Version | [ˈvɜːʃən] | Версия, вариант
Opinion | [əˈpɪnjən] | Мнение, взгляд
Global | [ˈgləʊbəl] | Глобальный, мировой
Funny | [ˈfʌni] | Смешной, забавный
Newspaper | [ˈnjuːzˌpeɪpə] | Газета
Magazine | [ˌmægəˈziːn] | Журнал
Dangerous | [ˈdeɪnʤrəs] | Опасный
Danger | [ˈdeɪnʤə] | Опасность, угроза
Children | [ˈʧɪldrən] | Дети
Only | [ˈəʊnli] | Только
Marry | [ˈmæri] | Жениться, замуж
Married | [ˈmærɪd] | Женатый, замужняя
Single | [ˈsɪŋgl] | Одинокий, один, холостой
Tired | [ˈtaɪəd] | Уставший
Full | [fʊl] | Полный
Full of | [fʊl] [ɒv] | Полон
Energy | [ˈɛnəʤi] | Энергия
Stupid | [ˈstjuːpɪd] | Тупой, глупый
Angry | [ˈæŋgri] | Злой
Sad | [sæd] | Грустный, печальный
Wrong | [rɒŋ] | Неправильный, неверный
First | [fɜːst] | Первый
In the first place | [ɪn] [ðə] [fɜːst] [pleɪs] | На первом месте
Second | [ˈsɛkənd] | Второй, секунда
In the second place | [ɪn] [ðə] [ˈsɛkənd] [pleɪs] | На втором месте
Colleagues | [ˈkɒliːgz] | Коллега, сослуживец
Successful | [səkˈsɛsfʊl] | Успешный, удачный
Unsuccessful | [ˌʌnsəkˈsɛsfʊl] | Неуспешный, неудачный
Businessmen | [ˈbɪznɪsmən] | Бизнесмены
Director | [dɪˈrɛktə] | Директор, режиссёр
Singer | [ˈsɪŋə] | Певец, певица
Actor | [ˈæktə] | Актёр, действующее лицо
Actress | [ˈæktrɪs] | Актриса
Far | [fɑː] | Далеко, гораздо, намного, дальний
Near | [nɪə] | Возле, около, близко, поблизости
Year | [jɪə] | Год
Hard-working | [ˈhɑːdˌwɜːkɪŋ] | Трудолюбивый
Busy | [ˈbɪzi] | Занятой, заниматься
Moment | [ˈməʊmənt] | Момент, минутку!
At the moment | [æt] [ðə] [ˈməʊmənt] | Сейчас, в настоящее время, в данный момент
Rule | [ruːl] | Управлять, править, правило
Men | [mɛn] | Люди, мужчины
Designer | [dɪˈzaɪnə] | Дизайнер, конструктор
Women | [ˈwɪmɪn] | Женщины
Ineffective | [ˌɪnɪˈfɛktɪv] | Неэффективный
Feeling | [ˈfiːlɪŋ] | Чувство, ощущение
Power | [ˈpaʊə] | Сила, власть, мощность, энергия, способность, силовой
Russian | [ˈrʌʃ(ə)n] | Русский
American | [əˈmɛrɪkən] | Американский, американец
One | [wʌn] | 1
Two | [tuː] | 2
Three | [θriː] | 3
Four | [fɔː] | 4
Five | [faɪv] | 5
Six | [sɪks] | 6
Seven | [ˈsɛvn] | 7
Eight | [eɪt] | 8
Nine | [naɪn] | 9
Ten | [tɛn] | 10
Eleven | [ɪˈlɛvn] | 11
Twelve | [twɛlv] | 12
Thirteen | [ˈθɜːˈtiːn] | 13
Fourteen | [ˈfɔːˈtiːn] | 14
Fifteen | [ˈfɪfˈtiːn] | 15
Sixteen | [ˈsɪksˈtiːn] | 16
Seventeen | [ˈsɛvnˈtiːn] | 17
Eighteen | [ˌeɪˈtiːn] | 18
Nineteen | [ˈnaɪnˈtiːn] | 19
Twenty | [ˈtwɛnti] | 20
Thirty | [ˈθɜːti] | 30
Forty | [ˈfɔːti] | 40
Fifty | [ˈfɪfti] | 50
Sixty | [ˈsɪksti] | 60
