Does it seem boring? | [dʌz] [ɪt] [siːm] [ˈbɔːrɪŋ]? | Это кажется скучным?
Does it seem interesting? | [dʌz] [ɪt] [siːm] [ˈɪntrɪstɪŋ]? | Это кажется интересным?
Does it look strange? | [dʌz] [ɪt] [lʊk] [streɪnʤ]? | Это выглядит странным?
Does she like this profession? | [dʌz] [ʃiː] [laɪk] [ðɪs] [prəˈfɛʃən]? | Ей нравится эта профессия?
Does he like this project? | [dʌz] [hiː] [laɪk] [ðɪs] [ˈprɒʤɛkt]? | Ему нравится этот проект?
Does he like it? | [dʌz] [hiː] [laɪk] [ɪt]? | Ему нравится это?
Does she often use it? | [dʌz] [ʃiː] [ˈɒf(ə)n] [juːz] [ɪt]? | Он часто пользуется этим?
Does it often happen? | [dʌz] [ɪt] [ˈɒf(ə)n] [ˈhæpən]? | Это часто происходит?
Does it sometimes happen? | [dʌz] [ɪt] [ˈsʌmtaɪmz] [ˈhæpən]? | Это иногда случается?
Does he often watch TV? | [dʌz] [hiː] [ˈɒf(ə)n] [wɒʧ] [ˌtiːˈviː]? | Он часто смотрит телевизор?
Does she often listen to the radio? | [dʌz] [ʃiː] [ˈɒf(ə)n] [ˈlɪsn] [tuː] [ðə] [ˈreɪdɪəʊ]? | Он часто слушает радио?
Does he often hear it? | [dʌz] [hiː] [ˈɒf(ə)n] [hɪər] [ɪt]? | Он часто слышит это?
Does she often say it? | [dʌz] [ʃiː] [ˈɒf(ə)n] [seɪ] [ɪt]? | Она часто говорит это?
Does she need to come to this place? | [dʌz] [ʃiː] [niːd] [tuː] [kʌm] [tuː] [ðɪs] [pleɪs]? | Ей нужно прийти в это место?
Does she need to call him? | [dʌz] [ʃiː] [niːd] [tuː] [kɔːl] [hɪm]? | Ей нужно позвонить ему?
Does she need to come there? | [dʌz] [ʃiː] [niːd] [tuː] [kʌm] [ðeə]? | Ей нужно прийти туда?
Does he want to work in another place? | [dʌz] [hiː] [wɒnt] [tuː] [wɜːk] [ɪn] [əˈnʌðə] [pleɪs]? | Он хочет работать в другом месте?
Does he try to find a new job? | [dʌz] [hiː] [traɪ] [tuː] [faɪnd] [ə] [njuː] [ʤɒb]? | Он пытается найти новую работу?
Does he look for a job? | [dʌz] [hiː] [lʊk] [fɔːr] [ə] [ʤɒb]? | Он ищет работу?
Does he pay for it? | [dʌz] [hiː] [peɪ] [fɔːr] [ɪt]? | Он платит за это?
Does he hate this thing? | [dʌz] [hiː] [heɪt] [ðɪs] [θɪŋ]? | Он ненавидит эту вещь?
Does he hate it? | [dʌz] [hiː] [heɪt] [ɪt]? | Он ненавидит это?
Does she ignore it? | [dʌz] [ʃiː] [ɪgˈnɔːr] [ɪt]? | Она игнорирует это?
Does she tell him everything? | [dʌz] [ʃiː] [tɛl] [hɪm] [ˈɛvrɪθɪŋ]? | Она говорит ему всё?
Does she teach English? | [dʌz] [ʃiː] [tiːʧ] [ˈɪŋglɪʃ]? | Она преподаёт английский?
Does he live here? | [dʌz] [hiː] [lɪv] [hɪə]? | Он живёт здесь?
Does it help you? | [dʌz] [ɪt] [hɛlp] [juː]? | Это помогает тебе?
Does she think about it? | [dʌz] [ʃiː] [θɪŋk] [əˈbaʊt] [ɪt]? | Она думает об этом?
