I prefer these lessons | [aɪ] [priˈfɜː] [ðiːz] [ˈlɛsnz] | Я предпочитаю эти уроки
It's such a bad method | [ɪts] [sʌʧ] [ə] [bæd] [ˈmɛθəd] | Это такой плохой метод
It isn't a good method. It's a very bad method | [ɪt] [ˈɪznt] [ə] [gʊd] [ˈmɛθəd]. [ɪts] [ə] [ˈvɛri] [bæd] [ˈmɛθəd] | Это не хороший метод. Это очень плохой метод
It isn't far. It's near | [ɪt] [ˈɪznt] [fɑː]. [ɪts] [nɪə] | Это не далеко. Это близко
It isn't so easy. It's very difficult | [ɪt] [ˈɪznt] [səʊ] [ˈiːzi]. [ɪts] [ˈvɛri] [ˈdɪfɪkəlt] | Это не так легко. Это очень сложно
It isn't the same | [ɪt] [ˈɪznt] [ðə] [seɪm] | Это не то же самое
It isn't rainy | [ɪt] [ˈɪznt] [ˈreɪni] | Не дождливо
It isn't cold | [ɪt] [ˈɪznt] [kəʊld] | Не холодно
It isn't warm | [ɪt] [ˈɪznt] [wɔːm] | Не тепло
She isn't with him. She's with her | [ʃiː] [ˈɪznt] [wɪð] [hɪm]. [ʃiːz] [wɪð] [hɜː] | Она не с ним. Она с ней
These lessons are free | [ðiːz] [ˈlɛsnz] [ɑː] [friː] | Эти уроки бесплатные
She isn't free. She's very busy | [ʃiː] [ˈɪznt] [friː]. [ʃiːz] [ˈvɛri] [ˈbɪzi] | Она не свободна. Она очень занята
She isn't a singer. She's an actress | [ʃiː] [ˈɪznt] [ə] [ˈsɪŋə]. [ʃiːz] [ən] [ˈæktrɪs] | Она не певица. Она актриса
She isn't here. She's there | [ʃiː] [ˈɪznt] [hɪə]. [ʃiːz] [ðeə] | Она не здесь. Она там
He isn't in the city. He's in another place | [hiː] [ˈɪznt] [ɪn] [ðə] [ˈsɪti]. [hiːz] [ɪn] [əˈnʌðə] [pleɪs] | Его нет в городе. Он в другом месте
He isn't a director. He's a manager | [hiː] [ˈɪznt] [ə] [dɪˈrɛktə]. [hiːz] [ə] [ˈmænɪʤə] | Он не директор. Он менеджер
he isn't poor. He's very rich | [hiː] [ˈɪznt] [pʊə]. [hiːz] [ˈvɛri] [rɪʧ] | Он не бедный. Он очень богатый
He isn't old. He's very young | [hiː] [ˈɪznt] [əʊld]. [hiːz] [ˈvɛri] [jʌŋ] | Он не старый. Он очень молодой
They aren't businessmen. They're managers | [ðeɪ] [ɑːnt] [ˈbɪznɪsmən]. [ðeə] [ˈmænɪʤəz] | Они не бизнесмены. Они менеджеры
They aren't successful | [ðeɪ] [ɑːnt] [səkˈsɛsfʊl] | Они не успешны
They aren't my colleagues | [ðeɪ] [ɑːnt] [maɪ] [ˈkɒliːgz] | Они не мои коллеги
They aren't together | [ðeɪ] [ɑːnt] [təˈgɛðə] | Они не вместе
You aren't in the first place. You're in the second place | [juː] [ɑːnt] [ɪn] [ðə] [fɜːst] [pleɪs]. [jʊər] [ɪn] [ðə] [ˈsɛkənd] [pleɪs] | Ты не на первом месте. Ты на втором месте
You aren't in this place | [juː] [ɑːnt] [ɪn] [ðɪs] [pleɪs] | Ты не в этом месте
You aren't right | [juː] [ɑːnt] [raɪt] | Ты не прав
We aren't sad. We're happy! | [wiː] [ɑːnt] [sæd]. [wɪə] [ˈhæpi]! | Мы не грустные. Мы счастливые!
We aren't angry. We're very kind | [wiː] [ɑːnt] [ˈæŋgri]. [wɪə] [ˈvɛri] [kaɪnd] | Мы не злые. Мы добрые
We aren't stupid. We're clever | [wiː] [ɑːnt] [ˈstjuːpɪd]. [wɪə] [ˈklɛvə] | Мы не тупые. Мы умные
We aren't tired. We're full of energy | [wiː] [ɑːnt] [ˈtaɪəd]. [wɪə] [fʊl] [ɒv] [ˈɛnəʤi] | Мы не уставшие. Мы полны энергии
I'm not a student. I work | [aɪm] [nɒt] [ə] [ˈstjuːdənt]. [aɪ] [wɜːk] | Я не студент. Я работаю
I'm not at home. I'm at work | [aɪm] [nɒt] [æt] [həʊm]. [aɪm] [æt] [wɜːk] | Я не дома, я на работе
I'm not a manager. I'm a teacher | [aɪm] [nɒt] [ə] [ˈmænɪʤə]. [aɪm] [ə] [ˈtiːʧə] | Я не менеджер. Я учитель
I'm not a married. I'm single | [aɪm] [nɒt] [ə] [ˈmærɪd]. [aɪm] [ˈsɪŋgl] | Я не женат. Я холост
I'm not at home | [aɪm] [nɒt] [æt] [həʊm] | Я не дома
We aren't at home | [wiː] [ɑːnt] [æt] [həʊm] | Мы не дома
You aren't at home | [juː] [ɑːnt] [æt] [həʊm] | Ты не дома
They aren't at home | [ðeɪ] [ɑːnt] [æt] [həʊm] | Они не дома
He isn't at home | [hiː] [ˈɪznt] [æt] [həʊm] | Он не дома
She isn't at home | [ʃiː] [ˈɪznt] [æt] [həʊm] | Она не дома
It isn't at home | [ɪt] [ˈɪznt] [æt] [həʊm] | Это не дома
