Useless | [ˈjuːslɪs] | Бесполезный
Important | [ɪmˈpɔːtənt] | Важный
Unimportant | [ˌʌnɪmˈpɒtənt] | Неважный
Exam | [ɪgˈzæm] | Экзамен
Difficult | [ˈdɪfɪkəlt] | Трудный
Easy | [ˈiːzi] | Легко, лёгкий
Truth | [truːθ] | Правда, истина
All the truth | [ɔːl] [ðə] [truːθ] | Вся правда
Student | [ˈstjuːdənt] | Студент
Excellent | [ˈɛksələnt] | Отличный, превосходный, великолепный
Excellent results | [ˈɛksələnt] [rɪˈzʌlts] | Отличные результаты
Brilliant | [ˈbrɪljənt] | Блестящий, выдающийся, бриллиант
