Where | [weə] | Где, куда
Why | [waɪ] | Почему
Spend | [spɛnd] | Тратить, проводить
Together | [təˈgɛðə] | Вместе, одновременно
What | [wɒt] | Что, какой
How | [haʊ] | Как
Get | [gɛt] | Получать, попасть, добираться
Get to work | [gɛt] [tuː] [wɜːk] | Добираться до работы
When | [wɛn] | Когда
Who | [huː] | Кого, кто
Kind | [kaɪnd] | Добрый, вид, тип
Sort | [sɔːt] | Сортировать, вид, тип
Prefer | [priˈfɜː] | Предпочитать, предпочтительный
What kind of | [wɒt] [kaɪnd] [ɒv] | Какого рода...
What time | [wɒt] [taɪm] | В какое время
Get up | [gɛt] [ʌp] | Вставать, подниматься
Go to bed | [gəʊ] [tuː] [bɛd] | Ложиться спать
Bed | [bɛd] | Кровать, постель
