Complain | [kəmˈpleɪn] | Жаловаться, пожаловаться
So often | [səʊ] [ˈɒf(ə)n] | Так часто
Refuse | [ˌriːˈfjuːz] | Мусор, отходы, отказываться
Add | [æd] | Добавлять
Test | [tɛst] | Контрольная работа, тест, испытание, тестировать, проверять
Worry | [ˈwʌri] | Волновать, беспокоить
Movie | [ˈmuːvi] | Кино, кинофильм
Or | [ɔː] | Или
Leave | [liːv] | Уехать, уйти
Leave home | [liːv] [həʊm] | Уйти из дома
Go to the zoo | [gəʊ] [tuː] [ðə] [zuː] | Пойти в зоопарк
Zoo | [zuː] | Зоопарк
How long | [haʊ] [lɒŋ] | Как долго
Long | [lɒŋ] | Долго, длинный
Take | [teɪk] | Взять, принять
