Love | [lʌv] | Любовь, любить
Hard | [hɑːd] | Жёсткий, трудный, упорно, тяжело, жёстко
Very hard | [ˈvɛri] [hɑːd] | Очень усердно (работаешь, например)
There | [ðeə] | Там, туда, здесь, тут
Feel | [fiːl] | Чувствовать, почувствовать, ощущать, испытывать
Also | [ˈɔːlsəʊ] | Также, тоже
Happy | [ˈhæpi] | Счастливый
House | [haʊs] | Дом, жилище, театр, здание
Place | [pleɪs] | Место, размещать, помещать
Really | [ˈrɪəli] | Действительно, на самом деле, в самом деле, уж
Look | [lʊk] | Вид, взгляд, внешность, посмотреть, выглядеть, поискать
Interesting | [ˈɪntrɪstɪŋ] | Интересный
Seem | [siːm] | Казаться, мерещиться
Read | [riːd] | Читать, прочесть, считывать, чтение
Strange | [streɪnʤ] | Странный, чужой
He knows it | [hiː] [nəʊz] [ɪt] | Он знает это
Mistake | [mɪsˈteɪk] | Ошибка, заблуждение
Happen | [ˈhæpən] | Происходить, случаться
More | [mɔː] | Более, больше, ещё
Practice | [ˈpræktɪs] | Практика, опыт, тренировка, практиковать, заниматься
