High | [haɪ] | Высокий
Level | [ˈlɛvl] | Уровень
Low | [ləʊ] | Низкий, небольшой
Detail | [ˈdiːteɪl] | Деталь, подробность, подробный
Small | [smɔːl] | Небольшой, маленький
Small mistake | [smɔːl] [mɪsˈteɪk] | Маленькая ошибка
In the world | [ɪn] [ðə] [wɜːld] | В мире
World | [wɜːld] | Мир, мировой
Example | [ɪgˈzɑːmpl] | Пример, образец
Expensive | [ɪksˈpɛnsɪv] | Дорогой
Cheap | [ʧiːp] | Дёшево, дешёвый
Cold | [kəʊld] | Холод, холодный
Warm | [wɔːm] | Тёплый
Hot | [hɒt] | Жаркий, горячий
Rain | [reɪn] | Дождь, дождевой
Rainy | [ˈreɪni] | Дождливый
Sun | [sʌn] | Солнце
Sunny | [ˈsʌni] | Солнечно, солнечный
Dark | [dɑːk] | Темно, тёмный
Wonderful | [ˈwʌndəfʊl] | Чудесный, замечательный
Obvious | [ˈɒbvɪəs] | Очевидный, ясный
Simple | [ˈsɪmpl] | Простой
Impossible | [ɪmˈpɒsəbl] | Невозможное, невозможно
Ready | [ˈrɛdi] | Готовый
Fine | [faɪn] | Штраф, штрафовать, хорошо, прекрасно, прекрасный
On the left | [ɒn] [ðə] [lɛft] | Слева
On the right | [ɒn] [ðə] [raɪt] | Справа
Better | [ˈbɛtə] | Лучше
Worse | [wɜːs] | Хуже, худший
Young | [jʌŋ] | Молодой
Man | [mæn] | Человек, мужчина
Girl | [gɜːl] | Девушка, девочка
