Marry | [ˈmæri] | Жениться, замуж
Married | [ˈmærɪd] | Женатый, замужняя
Single | [ˈsɪŋgl] | Одинокий, один, холостой
Tired | [ˈtaɪəd] | Уставший
Full | [fʊl] | Полный
Full of | [fʊl] [ɒv] | Полон
Energy | [ˈɛnəʤi] | Энергия
Stupid | [ˈstjuːpɪd] | Тупой, глупый
Angry | [ˈæŋgri] | Злой
Sad | [sæd] | Грустный, печальный
Wrong | [rɒŋ] | Неправильный, неверный
First | [fɜːst] | Первый
In the first place | [ɪn] [ðə] [fɜːst] [pleɪs] | На первом месте
Second | [ˈsɛkənd] | Второй, секунда
In the second place | [ɪn] [ðə] [ˈsɛkənd] [pleɪs] | На втором месте
Colleagues | [ˈkɒliːgz] | Коллега, сослуживец
Successful | [səkˈsɛsfʊl] | Успешный, удачный
Unsuccessful | [ˌʌnsəkˈsɛsfʊl] | Неуспешный, неудачный
Businessmen | [ˈbɪznɪsmən] | Бизнесмены
Director | [dɪˈrɛktə] | Директор, режиссёр
Singer | [ˈsɪŋə] | Певец, певица
Actor | [ˈæktə] | Актёр, действующее лицо
Actress | [ˈæktrɪs] | Актриса
Far | [fɑː] | Далеко, гораздо, намного, дальний
Near | [nɪə] | Возле, около, близко, поблизости
