Special | [ˈspɛʃəl] | Специальный, особый
Lucky | [ˈlʌki] | Счастливый, удачливый, везучий
United | [jʊˈnaɪtɪd] | Объединённый
State | [steɪt] | Государство, государственный, состояние
Client | [ˈklaɪənt] | Клиент, заказчик
Building | [ˈbɪldɪŋ] | Здание, строительство
Spain | [speɪn] | Испания
Italy | [ˈɪtəli] | Италия
Room | [ruːm] | Комната, номер
Version | [ˈvɜːʃən] | Версия, вариант
Opinion | [əˈpɪnjən] | Мнение, взгляд
Global | [ˈgləʊbəl] | Глобальный, мировой
Funny | [ˈfʌni] | Смешной, забавный
Newspaper | [ˈnjuːzˌpeɪpə] | Газета
Magazine | [ˌmægəˈziːn] | Журнал
Dangerous | [ˈdeɪnʤrəs] | Опасный
Danger | [ˈdeɪnʤə] | Опасность, угроза
Children | [ˈʧɪldrən] | Дети
Only | [ˈəʊnli] | Только
