Lesson | [ˈlɛsn] | Урок
These | [ðiːz] | Эти
Useful | [ˈjuːsfʊl] | Полезный
Your | [jɔː] | Ваш, твой
Brother | [ˈbrʌðə] | Брат
Parent | [ˈpeərənt] | Родительский, исходный, родитель
Parents | [ˈpeərənts] | Родители
Friend | [frɛnd] | Друг
My | [maɪ] | Мой (начальник, например)
Boss | [bɒs] | Босс, хозяин, шеф, руководитель, выступ
Everything | [ˈɛvrɪθɪŋ] | Всё (знать всё например)
All | [ɔːl] | Все (документы, например)
Documents | [ˈdɒkjʊmənts] | Документы
Check | [ʧɛk] | Проверка, чек, контроль, проверять, контролировать
Information | [ˌɪnfəˈmeɪʃən] | Информация, сведения, данные
Our | [ˈaʊə] | Наши, наш, наша, наше
Mother | [ˈmʌðə] | Мать, мама
The same | [ðə] [seɪm] | Одинаковый, так же
Their | [ðeə] | Их, свои
Father | [ˈfɑːðə] | Отец
Her | [hɜː] | Её, свой
Say | [seɪ] | Скачать
Its | [ɪts] | Его / её
Company | [ˈkʌmpəni] | Компания
Profit | [ˈprɒfɪt] | Прибыль, выгода, доход, польза
Big | [bɪg] | Большой, крупный
Girlfriend | [ˈgɜːlˌfrɛnd] | Девушка, подруга
Boyfriend | [ˈbɔɪˌfrɛnd] | Парень, дружок
Much | [mʌʧ] | Много, многое, гораздо, очень
Support | [səˈpɔːt] | Поддержка, помощь, опора, поддерживать
Best | [bɛst] | Лучший, лучше всего
Come | [kʌm] | Приходить
Come to work | [kʌm] [tuː] [wɜːk] | Приходить на работу
Early | [ˈɜːli] | Рано, преждевременно, ранний
Come home | [kʌm] [həʊm] | Прийти домой
Go home | [gəʊ] [həʊm] | Пойти домой
