Dress | [drɛs] | Платье, одежда, одевать, одеваться
Step | [stɛp] | Шаг
Step by step | [stɛp] [baɪ] [stɛp] | Шаг за шагом
Flat | [flæt] | Плоский, плашмя, плоско, бемоль, квартира
Apartment | [əˈpɑːtmənt] | Квартира, апартамент
Improve | [ɪmˈpruːv] | Улучшать, совершенствовать
Better | [ˈbɛtə] | Лучше
Without | [wɪˈðaʊt] | Без
Grammar | [ˈgræmə] | Грамматика
Correct | [kəˈrɛkt] | Правильный, корректный, верный, исправлять, корректировать
Correctly | [kəˈrɛktli] | Правильно, корректно
Fast | [fɑːst] | Быстрый, быстро, поститься, голодать, пост
Be | [biː] | Быть
Right | [raɪt] | Право, правый, верно, правильный, непосредственно
Right now | [raɪt] [naʊ] | Прямо сейчас
Buy | [baɪ] | Купить, покупать, покупка
Fluently | [ˈflu(ː)əntli] | Бегло, плавно, гладко
Time | [taɪm] | Время, раз, срок
One more time | [wʌn] [mɔː] [taɪm] | Ещё один раз
Speak English fluently | [spiːk] [ˈɪŋglɪʃ] [ˈflu(ː)əntli] | Свободно говорить по-английски
Again | [əˈgɛn] | Снова, опять, вновь, ещё раз
Abroad | [əˈbrɔːd] | За границей, за границу
Another | [əˈnʌðə] | Другой, иной, ещё один
Thank | [θæŋk] | Благодарить
Thank you | [θæŋk] [juː] | Спасибо, благодарю
Thanks a lot | [θæŋks] [ə] [lɒt] | Большое спасибо
Thank you very much | [θæŋk] [juː] [ˈvɛri] [mʌʧ] | Большое Вам спасибо
Thanks a million | [θæŋks] [ə] [ˈmɪljən] | Бесконечно благодарен
