Interest | [ˈɪntrɪst] | Интересовать, заинтересовать, интерес
Attract | [əˈtrækt] | Привлекать, притягивать
Future | [ˈfjuːʧə] | Будущее, будущий
Recommend | [ˌrɛkəˈmɛnd] | Рекомендовать
Son | [sʌn] | Сын
Daughter | [ˈdɔːtə] | Дочь, дочерний
Change | [ʧeɪnʤ] | Изменять
Life | [laɪf] | Жизнь, продолжительность жизни, срок службы
Partner | [ˈpɑːtnə] | Партнёр, напарник, соучастник
My friend and I | [maɪ] [frɛnd] [ænd] [aɪ] | Мы с моим другом
Them | [ðɛm] | Им (звоним им, например)
Call | [kɔːl] | Вызов, требование, соединение, называть
Believe | [bɪˈliːv] | Полагать, верить
Us | [ʌs] | Нам (не верит нам, например)
Bring | [brɪŋ] | Приносить, приводить
People | [ˈpiːpl] | Люди, народ, население
Happiness | [ˈhæpɪnɪs] | Счастье
Make | [meɪk] | Марка, делать, совершать
